book,chart,first_week,last_week,weekly_charts,rows,first_page,last_page
1940_us_singles,Billboard Best Sellers In Stores,1940-07-27,1940-12-28,23,230,43,48
1940_us_singles,Best Sellers In Stores - East Coast,1940-07-27,1940-12-28,23,230,96,101
1940_us_singles,Best Sellers In Stores - Mid West,1940-07-27,1940-12-28,23,230,148,153
1940_us_singles,Best Sellers In Stores - South,1940-07-27,1940-12-28,23,230,199,204
1940_us_singles,Best Sellers In Stores - West Coast,1940-07-27,1940-12-28,23,229,254,259
1941_us_singles,Billboard Best Sellers In Stores,1941-01-04,1941-12-27,52,520,57,69
1941_us_singles,Best Sellers In Stores - East Coast,1941-01-04,1941-12-27,52,520,153,165
1941_us_singles,Best Sellers In Stores - Mid West,1941-01-04,1941-12-27,52,519,248,260
1941_us_singles,Best Sellers In Stores - South,1941-01-04,1941-12-27,52,517,344,356
1941_us_singles,Best Sellers In Stores - West Coast,1941-01-04,1941-12-27,52,520,446,458
1942_us_singles,Billboard Best Sellers In Stores,1942-01-03,1942-12-26,52,520,54,66
1942_us_singles,Best Sellers In Stores - East Coast,1942-01-03,1942-12-26,52,520,143,155
1942_us_singles,Best Sellers In Stores - Mid West,1942-01-03,1942-12-26,52,520,234,246
1942_us_singles,Best Sellers In Stores - South,1942-01-03,1942-12-26,52,520,325,337
1942_us_singles,Best Sellers In Stores - West Coast,1942-01-03,1942-12-26,52,520,422,434
1942_us_singles,Harlem Hit Parade,1942-10-24,1942-12-26,10,100,496,498
1943_us_singles,Billboard Best Sellers In Stores,1943-01-02,1943-12-25,52,520,55,67
1943_us_singles,Best Sellers In Stores - East Coast,1943-01-02,1943-12-25,52,520,136,148
1943_us_singles,Best Sellers In Stores - Mid West,1943-01-02,1943-12-25,52,520,222,234
1943_us_singles,Best Sellers In Stores - South,1943-01-02,1943-12-25,52,520,309,321
1943_us_singles,Best Sellers In Stores - West Coast,1943-01-02,1943-12-25,52,520,401,413
1943_us_singles,Harlem Hit Parade,1943-01-02,1943-12-25,52,520,487,499
1944_us_singles,Billboard Best Sellers In Stores,1944-01-01,1944-12-30,53,542,58,71
1944_us_singles,Best Sellers In Stores - East Coast,1944-01-01,1944-12-30,53,460,146,157
1944_us_singles,Best Sellers In Stores - Mid West,1944-01-01,1944-12-30,53,457,232,243
1944_us_singles,Best Sellers In Stores - South,1944-01-01,1944-12-30,53,446,325,336
1944_us_singles,Best Sellers In Stores - West Coast,1944-01-01,1944-12-30,53,412,414,424
1944_us_singles,Harlem Hit Parade,1944-01-01,1944-12-30,53,530,494,507
1944_us_singles,Juke Box Folk,1944-01-08,1944-12-30,52,393,567,576
1944_us_singles,Juke Box Chart,1944-01-08,1944-12-30,52,1175,638,668
1945_us_singles,Billboard Best Sellers In Stores,1945-01-06,1945-12-29,52,616,58,73
1945_us_singles,Best Sellers In Stores - East Coast,1945-01-06,1945-03-17,11,101,141,143
1945_us_singles,Best Sellers In Stores - Mid West,1945-01-06,1945-03-17,11,102,204,206
1945_us_singles,Best Sellers In Stores - South,1945-01-06,1945-03-17,11,100,264,266
1945_us_singles,Best Sellers In Stores - West Coast,1945-01-06,1945-03-17,11,102,327,329
1945_us_singles,Harlem Hit Parade,1945-01-06,1945-02-10,6,63,382,383
1945_us_singles,Juke Box Folk,1945-01-06,1945-12-29,52,416,438,448
1945_us_singles,Juke Box Chart,1945-01-06,1945-12-29,52,1052,530,555
1945_us_singles,Juke Box Race,1945-02-17,1945-12-29,46,288,638,645
1945_us_singles,Disk Jockey Chart,1945-01-27,1945-12-29,49,975,721,745
